ID_EQ_ESP;NOME;NOME_POPULAR;TIPO;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOGRADOURO;GEOMETRIA;GESTOR_EQUIP_ESPORT
1597;ACADEMIA DA RUA ALVINO FERREIRA FELIPE;;ACADEMIA A CÉU ABERTO;PRACA;QUATRO MIL DUZENTOS E NOVENTA E DOIS;;;NOVO AARÃO REIS;ESQUINA AVENIDA DETETIVE EDUARDO FERNANDES E RUA ALVINO FERREIRA FELIPE;POINT (614382.59 7805808.13);
1769;ACADEMIA DA PRAÇA ANTÔNIO LUZIA MAGALHÃES;;ACADEMIA A CÉU ABERTO;PRACA;ANTONIO LUZIA MAGALHAES;;;SION;ESQUINA AVENIDA NOSSA SENHORA DO CARMO E RUA COLÔMBIA;POINT (611094.23 7793397.28);
1654;ACADEMIA DA PRAÇA DESBRAVADOR PEDRO HENRIQUE;;ACADEMIA A CÉU ABERTO;PRACA;DESBRAVADOR PEDRO HENRIQUE;;;TREVO;AVENIDA OLAVO BRASIL JUNIOR;POINT (602969.71 7806634.32);
1703;ACADEMIA DA PRAÇA MEMORIAL A BIBLIA;;ACADEMIA A CÉU ABERTO;PRACA;MEMORIAL A BIBLIA;;;CARDOSO;ENTRE AVENIDA MANOEL SALLES BARBOSA E RUA ITAPETININGA;POINT (603558.0 7787993.0);
1762;ACADEMIA DA RUA LOURDES MARIA PEDROSA;;ACADEMIA A CÉU ABERTO;RUA;TRES MIL SEISCENTOS E SETENTA E TRES;;;;;POINT (601882.0 7786188.01);
1610;ACADEMIA DA RUA LUIZ FERREIRA DE SOUZA;;ACADEMIA A CÉU ABERTO;PRACA;TRES MIL QUINHENTOS E SETENTA E TRES;;;CONJUNTO MINASCAIXA;ESQUINA RUA LUIZ FERREIRA DE SOUZA;POINT (609077.0 7809822.0);
1452;ACADEMIA DA PRAÇA LOUIS BRAILLE;;ACADEMIA A CÉU ABERTO;PRACA;LOUIS BRAILLE;;;SAUDADE;FINAL DA RUA JURAMENTO;POINT (615074.09 7797112.43);
1462;ACADEMIA DA RUA TREZENTOS E VINTE E OITO;;ACADEMIA A CÉU ABERTO;RUA;TREZENTOS E VINTE E OITO;;;GRANJA DE FREITAS;ESQUINA RUA SAO VICENTE;POINT (616869.82 7798198.29);
1400;ACADEMIA DA PRAÇA JOSÉ JEREMIAS DE MESQUITA;;ACADEMIA A CÉU ABERTO;PRACA;JOSE JEREMIAS DE MESQUITA;;;CÉU AZUL;ENTRE RUAS ANTÔNIO GIAROLA E RADIALISTA ISNARD SIMONE;POINT (605099.10 7808363.71);
1419;ACADEMIA DA RUA DA BATALHA DOS PALMARES;;ACADEMIA A CÉU ABERTO;RUA;DA BATALHA DOS PALMARES;;;DOM SILVÉRIO;FINAL DA RUA;POINT (614253.84 7804007.33);
2461;ACADEMIA DA RUA DOUTOR CRISTIANO REZENDE;;ACADEMIA A CÉU ABERTO;RUA;DOUTOR CRISTIANO REZENDE;;;BONSUCESSO;ESQUINA COM RUA D;POINT (605936.21 7789973.36);
2872;COMUNIDADE DANDARA (QPol);;QUADRA POLIESPORTIVA;RUA;WANDERLEY TEIXEIRA MATOS;;;DANDARA;ENTRE AVENIDA DANDARA E RUA WANDERLEY TEIXEIRA MATOS;POINT (603470.06 7807007.99);
1524;ACADEMIA DA PRAÇA PROFESSOR CORREA NETO;;ACADEMIA A CÉU ABERTO;PRACA;PROFESSOR CORREA NETO;;;SÃO CRISTÓVÃO;;POINT (610249.57 7798995.13);
