ID_EQUIP_EDUCACAO;NOME;DEPENDENCIA_ADM;CODIGO_INEP;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;REGIONAL;GEOMETRIA
1983502;CRECHE PADRE EUSTAQUIO - UNIDADE II;Creches Conveniadas;31376973;RUA;SEARA;520;;Coqueiros;NOROESTE;POINT (602188.57 7798866.41)
1982069;CRECHE COMUNITÁRIA CRISTO OPERÁRIO;Creches Conveniadas;31283606;RUA;RISOLETA PINTO SARDINHA;41;;Planalto;NORTE;POINT (610163.98 7806242.28)
1983245;CRECHE CASINHA DA VOVO - FILIAL;Creches Conveniadas;31375560;RUA;DOUTOR FRANCISCO SILVEIRA;216;;Petrópolis;BARREIRO;POINT (601445.55 7786834.07)
1982593;INSTITUTO PEDAGOGICO ILUMINAR;Creches Conveniadas;31355925;RUA;GOUVEIA;70;;Vila São Geraldo;LESTE;POINT (615249.61 7799665.98)
1983387;CSACA MONTES CLAROS;Creches Conveniadas;31379760;RUA;QUINHENTOS E QUINZE;285;;Montes Claros;NORDESTE;POINT (616107.28 7807017.64)
1981826;CRECHE SÃO JOSÉ;Creches Conveniadas;31356115;RUA;PORANGA;127;;Dom Bosco;NOROESTE;POINT (604711.31 7798078.90)
1981777;CRECHE MADRE GARCIA;Creches Conveniadas;31290335;RUA;PRINCIPAL;19;;Vila Barragem Santa Lúcia;CENTRO-SUL;POINT (610400.81 7793571.74)
1981796;MORADA NOVA - CASA DA CRIANÇA;Creches Conveniadas;31320765;RUA;PRINCIPAL;531;;Vila Barragem Santa Lúcia;CENTRO-SUL;POINT (610507.09 7793212.12)
1982516;CRECHE COMUNITÁRIA PEQUENO ALEXANDRE;Creches Conveniadas;31282260;RUA;ANTERO DE QUENTAL;49;;Santa Branca;PAMPULHA;POINT (608237.59 7806334.33)
1981924;ESCOLA MUNICIPAL MONSENHOR JOAO RODRIGUES DE OLIVEIRA;Municipal;31002691;RUA;ARAPARI;95;;São Geraldo;LESTE;POINT (615436.99 7799410.06)
1982064;MOVIMENTO DE PROMOÇÃO SOCIAL - MOPS;Creches Conveniadas;31289990;RUA;ARAPARI;470;;Mariano de Abreu;LESTE;POINT (615892.27 7799527.32)
1981845;CRUZADA DO BEM ELIZABETH SANTOS;Creches Conveniadas;31308625;RUA;BOGOTA;95;;Jardim América;OESTE;POINT (607569.24 7794540.65)
1983060;EMEI MARIA SALES FERREIRA;EMEIS;31205702;RUA;DAS CANOAS;150;;Betânia;OESTE;POINT (605347.05 7792660.80)
1982244;ESCOLA MUNICIPAL PROFESSOR CLAUDIO BRANDAO;Municipal;31003328;RUA;CANTAGALO;1147;;Aparecida;NOROESTE;POINT (609629.93 7800339.85)
1982056;INSTITUTO EDUCACIONAL ÁGAPE;Creches Conveniadas;31320552;RUA;CONDE D'EU;867;;Vera Cruz;LESTE;POINT (615526.32 7797747.82)
1981732;ESCOLA MUNICIPAL PROFESSOR MILTON LAGE;Municipal;31003735;RUA;ITAGIBA MIRANDA RABELO;70;;Vila Maria;NORDESTE;POINT (616760.17 7804546.21)
1982078;ESCOLA E CRECHE SANTO TOMAZ DE AQUINO;Creches Conveniadas;31281581;RUA;DEZ DE NOVEMBRO;176;;São Tomáz;NORTE;POINT (609759.86 7805327.53)
